screen_name,has_profile,has_raw_tweet,has_temporal,has_graph
___IRANI,True,False,True,False
tootferangi,True,False,True,False
RezaPahlaviIran,True,False,True,False
NarrehKhar,True,False,True,False
Yasmin4freedom,True,True,True,False
PahlaviKourosh,True,True,True,False
iranii_sam,True,False,True,False
BehiGity,True,False,True,False
yaamaashitaa,True,True,True,False
goliizz,True,False,True,False
Samiratar76,True,False,True,True
koshercockney,True,False,True,False
Nasrin63467831,True,False,True,False
Narges32750076,True,False,True,False
ardeshir1387,True,True,True,False
Babakparsa151,True,False,True,False
Ourbeautyiran,True,False,True,False
MarieJamesUS,True,False,True,False
Anonymous00708,True,False,True,False
persianChamrosh,True,False,True,False
Amoooomonkey,True,False,True,False
Bethefreedomvo1,True,False,True,True
dozdroozroshan,True,False,True,True
DerrickEvans4WV,True,False,True,False
therealmindman,True,False,True,False
niloooopar,True,False,True,True
fuckallakhunds,True,False,True,False
El_manshar,True,False,True,False
Fatemeh46936624,True,False,True,False
roshanayahoo,True,False,True,False
Mina2583,True,False,True,False
Alireza25746401,True,False,True,False
athlete202122,True,False,True,False
BenjiZion,True,False,True,False
jupiter__1984,True,False,True,False
Cheekypicky_3,True,False,True,False
sna1226695,True,False,True,True
7snake777,True,False,True,False
hossein_d15,True,True,True,False
QueeniieHarley,True,False,True,False
arrez00,True,False,True,False
dabeangoori1,True,False,True,False
BarayeAzadi20,True,False,True,False
Mojirani1388,True,False,True,False
rezak121212,True,True,True,True
Adlin_SheHulk,True,True,True,True
IranPlateau1,True,True,True,True
tnzmo,True,False,True,False
maral_raha,True,False,True,False
yontan_1997,True,False,True,False
Maryam65237865,True,False,True,False
Hammrraaz,True,False,True,False
_dokhtar_shah_,True,False,True,True
scharllinn,True,True,True,False
no_itsmyturn,True,False,True,False
dokht_shahin,True,False,True,False
phase_shad,True,False,True,False
JimmyShakiba,True,False,True,False
Mohamad73050566,True,False,True,False
qzhv41111,True,False,True,False
shIran184155,True,False,True,False
BhKhda29584,True,False,True,False
FF65951791,True,False,True,False
KavehMobar85307,True,False,True,False
Shadowirankhah,True,False,True,False
Parsa1279694,True,False,True,False
Pahlavii_p,True,False,True,True
Jussi_Andelin,True,False,True,False
Sanl2021,True,False,True,False
japonii69,True,False,True,False
DrewPavlou,True,False,True,False
seedhossein2111,True,True,True,False
mojgan07798961,True,True,True,False
Tarashroomizi,True,False,True,True
Aussie_Persian,True,False,True,False
salivan17684364,True,False,True,False
ManookPatr87409,True,False,True,False
pourechista2500,True,False,True,False
DaveAtherton20,True,False,True,False
majid_ranjbaran,True,True,True,False
BabakKhaaan,True,False,True,False
SDarabkhani,True,False,True,True
amokhoobeh,True,False,True,False
BeeVan88,True,True,True,False
PjR1345,True,False,True,False
